parameter,Mean,MCSE,StdDev,MAD,5%,50%,95%,ESS_bulk,ESS_tail,ESS_bulk/s,R_hat,run,n_subjects,divergences,metric,chains,warmup_per_chain,draws_per_chain,adapt_delta,max_depth_hits,min_bfmi,passed
"natural[30,3]",0.00380238,5.82672e-05,0.00550873,0.00220444,6.82409e-05,0.00175814,0.0144775,8622.91,5775.81,18.9055,1.00029,H8_full_age_attempt99_short,111,0,,4.0,2000.0,2000.0,0.99,0,0.7362529883240674,True
"natural[31,1]",0.777641,0.00239229,0.195206,0.178542,0.377364,0.83108,0.989271,6177.55,5009.76,13.5441,1.0006,H8_full_age_attempt99_short,111,0,,4.0,2000.0,2000.0,0.99,0,0.7362529883240674,True
"natural[31,2]",0.276815,0.000981383,0.0993761,0.09905,0.124774,0.270985,0.446865,9577.29,4921.9,20.9979,1.00168,H8_full_age_attempt99_short,111,0,,4.0,2000.0,2000.0,0.99,0,0.7362529883240674,True
"natural[31,3]",0.0301901,0.000515964,0.0458705,0.0159664,0.000314124,0.0120079,0.118572,7855.45,5865.81,17.2229,1.00008,H8_full_age_attempt99_short,111,0,,4.0,2000.0,2000.0,0.99,0,0.7362529883240674,True
"natural[32,1]",0.0563773,0.00060401,0.0528947,0.0449749,0.00233646,0.0408649,0.163869,5911.59,4417.09,12.961,1.00014,H8_full_age_attempt99_short,111,0,,4.0,2000.0,2000.0,0.99,0,0.7362529883240674,True
"natural[32,2]",0.484226,0.00250218,0.203016,0.151334,0.258101,0.433781,0.884078,8068.54,5982.78,17.6901,1.00035,H8_full_age_attempt99_short,111,0,,4.0,2000.0,2000.0,0.99,0,0.7362529883240674,True
"natural[32,3]",0.404625,0.00290482,0.241703,0.26558,0.0774038,0.367064,0.85848,6347.92,5425.24,13.9177,1.00017,H8_full_age_attempt99_short,111,0,,4.0,2000.0,2000.0,0.99,0,0.7362529883240674,True
"natural[33,1]",0.709257,0.00250914,0.175506,0.213537,0.419683,0.710991,0.977558,4621.43,3924.58,10.1324,1.00031,H8_full_age_attempt99_short,111,0,,4.0,2000.0,2000.0,0.99,0,0.7362529883240674,True
"natural[33,2]",1.03011,0.00236005,0.222426,0.21408,0.700133,1.00863,1.41597,8563.46,5700.61,18.7752,0.999916,H8_full_age_attempt99_short,111,0,,4.0,2000.0,2000.0,0.99,0,0.7362529883240674,True
"natural[33,3]",0.00807277,0.000109638,0.0104622,0.00513456,0.000183713,0.00422802,0.0293187,8292.89,6206.18,18.1819,1.00081,H8_full_age_attempt99_short,111,0,,4.0,2000.0,2000.0,0.99,0,0.7362529883240674,True
"natural[34,1]",0.235024,0.00180592,0.111256,0.102083,0.0759608,0.222403,0.433296,3413.49,2557.54,7.48399,1.00194,H8_full_age_attempt99_short,111,0,,4.0,2000.0,2000.0,0.99,0,0.7362529883240674,True
"natural[34,2]",0.601818,0.00364261,0.275817,0.265431,0.216821,0.570686,1.10553,4601.99,2910.02,10.0897,1.0001,H8_full_age_attempt99_short,111,0,,4.0,2000.0,2000.0,0.99,0,0.7362529883240674,True
"natural[34,3]",0.279351,0.00251397,0.171164,0.14584,0.0616016,0.245396,0.620124,4462.46,3879.03,9.78381,1.00041,H8_full_age_attempt99_short,111,0,,4.0,2000.0,2000.0,0.99,0,0.7362529883240674,True
"natural[35,1]",0.430215,0.00347004,0.246183,0.234095,0.0881796,0.379448,0.914611,5049.39,3666.63,11.0706,1.00202,H8_full_age_attempt99_short,111,0,,4.0,2000.0,2000.0,0.99,0,0.7362529883240674,True
"natural[35,2]",0.414196,0.0034144,0.261688,0.224864,0.0934012,0.358496,0.921427,4846.55,4035.8,10.6259,1.00027,H8_full_age_attempt99_short,111,0,,4.0,2000.0,2000.0,0.99,0,0.7362529883240674,True
"natural[35,3]",0.0513352,0.00154202,0.0973544,0.0247405,0.000972724,0.0201535,0.197901,7456.82,5352.82,16.3489,0.999802,H8_full_age_attempt99_short,111,0,,4.0,2000.0,2000.0,0.99,0,0.7362529883240674,True
"natural[36,1]",0.325341,0.00496396,0.279,0.242617,0.0164863,0.232973,0.90831,3251.91,4774.17,7.12972,1.00168,H8_full_age_attempt99_short,111,0,,4.0,2000.0,2000.0,0.99,0,0.7362529883240674,True
"natural[36,2]",0.139886,0.0010229,0.0836027,0.0712224,0.0388581,0.122389,0.299571,6171.94,5415.5,13.5318,1.00029,H8_full_age_attempt99_short,111,0,,4.0,2000.0,2000.0,0.99,0,0.7362529883240674,True
"natural[36,3]",0.143318,0.0029001,0.198454,0.0795313,0.00244751,0.0638055,0.611797,5009.42,5575.99,10.983,1.00009,H8_full_age_attempt99_short,111,0,,4.0,2000.0,2000.0,0.99,0,0.7362529883240674,True
"natural[37,1]",0.907737,0.00100037,0.0909247,0.070303,0.721444,0.937547,0.996765,6772.88,5992.89,14.8494,1.00005,H8_full_age_attempt99_short,111,0,,4.0,2000.0,2000.0,0.99,0,0.7362529883240674,True
"natural[37,2]",1.46762,0.00254645,0.291162,0.283165,1.03097,1.44344,1.98473,12711.9,6074.3,27.8705,1.00019,H8_full_age_attempt99_short,111,0,,4.0,2000.0,2000.0,0.99,0,0.7362529883240674,True
"natural[37,3]",0.00376936,6.21893e-05,0.00580906,0.00203041,7.049e-05,0.00163532,0.0149817,9906.7,5870.22,21.7202,0.99982,H8_full_age_attempt99_short,111,0,,4.0,2000.0,2000.0,0.99,0,0.7362529883240674,True
"natural[38,1]",0.288484,0.00397605,0.220277,0.183394,0.0441645,0.225855,0.766141,3145.81,3498.53,6.8971,1.00107,H8_full_age_attempt99_short,111,0,,4.0,2000.0,2000.0,0.99,0,0.7362529883240674,True
"natural[38,2]",0.299254,0.00274189,0.190056,0.16637,0.0706922,0.257529,0.674884,3966.82,4684.43,8.69714,1.0005,H8_full_age_attempt99_short,111,0,,4.0,2000.0,2000.0,0.99,0,0.7362529883240674,True
"natural[38,3]",0.154945,0.00313715,0.177457,0.10599,0.0054423,0.096773,0.538746,3477.82,4392.61,7.62502,1.00183,H8_full_age_attempt99_short,111,0,,4.0,2000.0,2000.0,0.99,0,0.7362529883240674,True
"natural[39,1]",0.201225,0.00195329,0.107061,0.0813652,0.0812241,0.177327,0.405091,3434.53,3649.12,7.53011,1.00098,H8_full_age_attempt99_short,111,0,,4.0,2000.0,2000.0,0.99,0,0.7362529883240674,True
"natural[39,2]",1.10659,0.0071718,0.495197,0.508467,0.348495,1.07111,1.98203,4168.77,2978.83,9.13991,1.0006,H8_full_age_attempt99_short,111,0,,4.0,2000.0,2000.0,0.99,0,0.7362529883240674,True
"natural[39,3]",0.0933512,0.00180562,0.0941162,0.0526489,0.00868428,0.0700532,0.2551,3291.33,3042.73,7.21615,1.00078,H8_full_age_attempt99_short,111,0,,4.0,2000.0,2000.0,0.99,0,0.7362529883240674,True
"natural[40,1]",0.444551,0.00374345,0.256269,0.264734,0.108051,0.38826,0.932673,5110.55,4417.35,11.2048,1.00095,H8_full_age_attempt99_short,111,0,,4.0,2000.0,2000.0,0.99,0,0.7362529883240674,True
"natural[40,2]",0.35051,0.00281479,0.221528,0.178744,0.0912271,0.302549,0.781718,5812.69,5285.28,12.7442,1.00022,H8_full_age_attempt99_short,111,0,,4.0,2000.0,2000.0,0.99,0,0.7362529883240674,True
"natural[40,3]",0.0572077,0.00117628,0.0904958,0.0329037,0.00107908,0.0267147,0.207781,8233.33,5872.83,18.0514,1.00003,H8_full_age_attempt99_short,111,0,,4.0,2000.0,2000.0,0.99,0,0.7362529883240674,True
"natural[41,1]",0.887792,0.00115877,0.105773,0.0884826,0.670714,0.921395,0.995621,6735.45,5349.13,14.7673,1.00001,H8_full_age_attempt99_short,111,0,,4.0,2000.0,2000.0,0.99,0,0.7362529883240674,True
"natural[41,2]",0.957852,0.0016748,0.1827,0.178605,0.674083,0.948311,1.27465,12096.7,6483.92,26.5218,1.00065,H8_full_age_attempt99_short,111,0,,4.0,2000.0,2000.0,0.99,0,0.7362529883240674,True
"natural[41,3]",0.00457447,7.13449e-05,0.00669851,0.00254948,9.19847e-05,0.00203846,0.017279,9614.04,6081.24,21.0785,1.0002,H8_full_age_attempt99_short,111,0,,4.0,2000.0,2000.0,0.99,0,0.7362529883240674,True
"natural[42,1]",0.100807,0.00155165,0.0902877,0.0637539,0.00723417,0.0810435,0.255142,3955.24,3311.02,8.67176,1.00066,H8_full_age_attempt99_short,111,0,,4.0,2000.0,2000.0,0.99,0,0.7362529883240674,True
"natural[42,2]",0.390216,0.00481892,0.299516,0.250959,0.0763018,0.30235,0.994205,3141.68,4616.66,6.88806,1.00056,H8_full_age_attempt99_short,111,0,,4.0,2000.0,2000.0,0.99,0,0.7362529883240674,True
"natural[42,3]",0.202142,0.0045177,0.251888,0.106733,0.00515718,0.0892982,0.814493,3357.02,5257.79,7.36017,1.00028,H8_full_age_attempt99_short,111,0,,4.0,2000.0,2000.0,0.99,0,0.7362529883240674,True
"natural[43,1]",0.0555851,0.000548235,0.0441049,0.041852,0.00389555,0.0457068,0.141042,5146.21,4695.01,11.2829,0.999811,H8_full_age_attempt99_short,111,0,,4.0,2000.0,2000.0,0.99,0,0.7362529883240674,True
"natural[43,2]",0.5282,0.00388588,0.26457,0.20594,0.236028,0.456261,1.07053,5334.92,5341.21,11.6967,0.999963,H8_full_age_attempt99_short,111,0,,4.0,2000.0,2000.0,0.99,0,0.7362529883240674,True
"natural[43,3]",0.326465,0.00338339,0.242375,0.24388,0.0310143,0.271442,0.816556,4442.89,4269.92,9.74093,1.0,H8_full_age_attempt99_short,111,0,,4.0,2000.0,2000.0,0.99,0,0.7362529883240674,True
"natural[44,1]",0.0891186,0.000968846,0.074481,0.0580549,0.00840839,0.0738846,0.215454,5165.17,4121.55,11.3245,1.00072,H8_full_age_attempt99_short,111,0,,4.0,2000.0,2000.0,0.99,0,0.7362529883240674,True
"natural[44,2]",0.433422,0.00415108,0.283746,0.245184,0.115021,0.361182,0.998164,3656.56,4632.17,8.0169,1.00133,H8_full_age_attempt99_short,111,0,,4.0,2000.0,2000.0,0.99,0,0.7362529883240674,True
"natural[44,3]",0.20844,0.00348443,0.212972,0.135283,0.0108849,0.132007,0.69239,3796.9,5061.85,8.32459,1.00103,H8_full_age_attempt99_short,111,0,,4.0,2000.0,2000.0,0.99,0,0.7362529883240674,True
"natural[45,1]",0.427222,0.00505523,0.310266,0.388814,0.0231126,0.369868,0.951162,3591.63,5127.27,7.87455,1.00207,H8_full_age_attempt99_short,111,0,,4.0,2000.0,2000.0,0.99,0,0.7362529883240674,True
"natural[45,2]",0.140281,0.000951113,0.0796708,0.0722322,0.0402809,0.125653,0.288925,7049.61,5559.85,15.4561,1.00022,H8_full_age_attempt99_short,111,0,,4.0,2000.0,2000.0,0.99,0,0.7362529883240674,True
"natural[45,3]",0.13622,0.00234698,0.178732,0.0873748,0.00206003,0.0684686,0.5238,5855.71,5201.12,12.8385,1.00063,H8_full_age_attempt99_short,111,0,,4.0,2000.0,2000.0,0.99,0,0.7362529883240674,True
"natural[46,1]",0.872292,0.00132694,0.120191,0.101292,0.62296,0.9107,0.995301,6396.23,5265.22,14.0236,0.999995,H8_full_age_attempt99_short,111,0,,4.0,2000.0,2000.0,0.99,0,0.7362529883240674,True
"natural[46,2]",1.10559,0.00197853,0.212994,0.214456,0.786648,1.0902,1.47726,11593.4,6068.18,25.4183,1.00036,H8_full_age_attempt99_short,111,0,,4.0,2000.0,2000.0,0.99,0,0.7362529883240674,True
"natural[46,3]",0.00374379,5.04201e-05,0.00494306,0.00234389,9.2116e-05,0.00197012,0.0137271,10080.7,5542.29,22.1016,1.00006,H8_full_age_attempt99_short,111,0,,4.0,2000.0,2000.0,0.99,0,0.7362529883240674,True
"natural[47,1]",0.386135,0.00445173,0.251054,0.243011,0.0781723,0.322651,0.884804,3486.57,4429.79,7.64421,1.00169,H8_full_age_attempt99_short,111,0,,4.0,2000.0,2000.0,0.99,0,0.7362529883240674,True
"natural[47,2]",0.247579,0.00184477,0.135671,0.124414,0.0717671,0.224113,0.506169,4459.07,4340.74,9.7764,1.00005,H8_full_age_attempt99_short,111,0,,4.0,2000.0,2000.0,0.99,0,0.7362529883240674,True
"natural[47,3]",0.0988769,0.00165965,0.116478,0.0708042,0.00296818,0.0633129,0.304001,4996.64,5287.36,10.955,1.00102,H8_full_age_attempt99_short,111,0,,4.0,2000.0,2000.0,0.99,0,0.7362529883240674,True
"natural[48,1]",0.153535,0.00272221,0.157623,0.0935824,0.00846506,0.108227,0.470135,3793.0,3666.17,8.31606,1.00112,H8_full_age_attempt99_short,111,0,,4.0,2000.0,2000.0,0.99,0,0.7362529883240674,True
"natural[48,2]",0.261494,0.0032093,0.199935,0.157161,0.0541855,0.202864,0.664238,3232.43,5236.7,7.08702,1.00055,H8_full_age_attempt99_short,111,0,,4.0,2000.0,2000.0,0.99,0,0.7362529883240674,True
"natural[48,3]",0.178471,0.00414556,0.232833,0.0918969,0.00477807,0.0793349,0.781553,3710.85,4383.83,8.13593,1.00037,H8_full_age_attempt99_short,111,0,,4.0,2000.0,2000.0,0.99,0,0.7362529883240674,True
"natural[49,1]",0.194685,0.00374056,0.209037,0.136052,0.00631427,0.121116,0.655999,3224.42,4365.88,7.06946,1.00235,H8_full_age_attempt99_short,111,0,,4.0,2000.0,2000.0,0.99,0,0.7362529883240674,True
"natural[49,2]",0.149487,0.00113723,0.090538,0.0783514,0.0420087,0.130161,0.324503,6131.34,5868.11,13.4428,1.00058,H8_full_age_attempt99_short,111,0,,4.0,2000.0,2000.0,0.99,0,0.7362529883240674,True
"natural[49,3]",0.244463,0.0034443,0.245567,0.175535,0.00844266,0.156975,0.812165,4913.0,5706.95,10.7716,1.00118,H8_full_age_attempt99_short,111,0,,4.0,2000.0,2000.0,0.99,0,0.7362529883240674,True
"natural[50,1]",0.659881,0.00284899,0.203064,0.248726,0.326205,0.66654,0.966896,5071.75,5203.94,11.1197,1.00089,H8_full_age_attempt99_short,111,0,,4.0,2000.0,2000.0,0.99,0,0.7362529883240674,True
"natural[50,2]",0.645024,0.00252542,0.203135,0.192574,0.358534,0.620618,1.01277,5837.06,5274.52,12.7976,1.00017,H8_full_age_attempt99_short,111,0,,4.0,2000.0,2000.0,0.99,0,0.7362529883240674,True
"natural[50,3]",0.0513896,0.000554127,0.041157,0.046793,0.00157122,0.0449381,0.126568,5103.62,5060.69,11.1896,1.00074,H8_full_age_attempt99_short,111,0,,4.0,2000.0,2000.0,0.99,0,0.7362529883240674,True
"natural[51,1]",0.209602,0.00425782,0.184659,0.089302,0.0541674,0.143992,0.651413,2969.32,2880.6,6.51014,1.00125,H8_full_age_attempt99_short,111,0,,4.0,2000.0,2000.0,0.99,0,0.7362529883240674,True
"natural[51,2]",0.44819,0.00503264,0.317162,0.291274,0.0797284,0.372807,1.06171,2757.46,3725.22,6.04566,1.00194,H8_full_age_attempt99_short,111,0,,4.0,2000.0,2000.0,0.99,0,0.7362529883240674,True
"natural[51,3]",0.072341,0.00246232,0.120108,0.0374616,0.00217869,0.0327299,0.277928,3192.98,3411.38,7.00051,1.00129,H8_full_age_attempt99_short,111,0,,4.0,2000.0,2000.0,0.99,0,0.7362529883240674,True
"natural[52,1]",0.721018,0.00316471,0.238368,0.235221,0.242646,0.787356,0.988383,5265.86,6126.66,11.5453,1.00055,H8_full_age_attempt99_short,111,0,,4.0,2000.0,2000.0,0.99,0,0.7362529883240674,True
"natural[52,2]",0.212414,0.00084975,0.0880875,0.088684,0.0816861,0.205082,0.368314,9432.03,4112.59,20.6795,1.00096,H8_full_age_attempt99_short,111,0,,4.0,2000.0,2000.0,0.99,0,0.7362529883240674,True
"natural[52,3]",0.0206064,0.000467865,0.0359274,0.0110672,0.000364195,0.00878636,0.0774612,7133.83,5968.54,15.6407,1.00105,H8_full_age_attempt99_short,111,0,,4.0,2000.0,2000.0,0.99,0,0.7362529883240674,True
"natural[53,1]",0.0583218,0.00212125,0.115285,0.0288698,0.00132668,0.0245987,0.209346,5799.16,3447.24,12.7145,1.00123,H8_full_age_attempt99_short,111,0,,4.0,2000.0,2000.0,0.99,0,0.7362529883240674,True
"natural[53,2]",0.138156,0.00121897,0.0817172,0.0585364,0.0466898,0.120777,0.300622,5242.96,5380.45,11.495,1.00067,H8_full_age_attempt99_short,111,0,,4.0,2000.0,2000.0,0.99,0,0.7362529883240674,True
"natural[53,3]",0.405987,0.00447493,0.307769,0.394294,0.013136,0.360167,0.940432,4246.95,5384.39,9.31132,1.00044,H8_full_age_attempt99_short,111,0,,4.0,2000.0,2000.0,0.99,0,0.7362529883240674,True
"natural[54,1]",0.0358749,0.000391303,0.0333644,0.0260444,0.00226754,0.0263128,0.10219,5978.91,5168.81,13.1086,1.00021,H8_full_age_attempt99_short,111,0,,4.0,2000.0,2000.0,0.99,0,0.7362529883240674,True
"natural[54,2]",0.46894,0.00488623,0.284132,0.167732,0.199353,0.370449,1.07132,4237.64,5644.35,9.29092,1.00188,H8_full_age_attempt99_short,111,0,,4.0,2000.0,2000.0,0.99,0,0.7362529883240674,True
"natural[54,3]",0.310313,0.00378879,0.257236,0.26677,0.0128639,0.245907,0.83233,3636.35,4151.75,7.97261,1.00155,H8_full_age_attempt99_short,111,0,,4.0,2000.0,2000.0,0.99,0,0.7362529883240674,True
"natural[55,1]",0.0452458,0.000566218,0.0474472,0.0311698,0.0026141,0.0310946,0.134765,5965.26,5150.49,13.0787,1.00034,H8_full_age_attempt99_short,111,0,,4.0,2000.0,2000.0,0.99,0,0.7362529883240674,True
"natural[55,2]",0.291036,0.00262184,0.171961,0.110772,0.113803,0.242185,0.642933,5054.49,5215.18,11.0818,1.00039,H8_full_age_attempt99_short,111,0,,4.0,2000.0,2000.0,0.99,0,0.7362529883240674,True
"natural[55,3]",0.342673,0.00375136,0.266354,0.281705,0.0201582,0.279797,0.865284,4192.17,4278.81,9.19123,1.00054,H8_full_age_attempt99_short,111,0,,4.0,2000.0,2000.0,0.99,0,0.7362529883240674,True
"natural[56,1]",0.134419,0.00290434,0.172324,0.0847253,0.00402634,0.0751435,0.519478,3701.44,4209.88,8.11532,1.00229,H8_full_age_attempt99_short,111,0,,4.0,2000.0,2000.0,0.99,0,0.7362529883240674,True
"natural[56,2]",0.166088,0.00133546,0.104656,0.0794954,0.0500529,0.140209,0.372473,5867.26,5838.4,12.8638,1.00036,H8_full_age_attempt99_short,111,0,,4.0,2000.0,2000.0,0.99,0,0.7362529883240674,True
"natural[56,3]",0.286946,0.00380632,0.262116,0.21267,0.0129379,0.197011,0.85471,4848.83,5271.78,10.6309,1.00029,H8_full_age_attempt99_short,111,0,,4.0,2000.0,2000.0,0.99,0,0.7362529883240674,True
"natural[57,1]",0.783125,0.00182841,0.158532,0.175044,0.483339,0.809892,0.985252,6457.08,4518.08,14.157,1.00035,H8_full_age_attempt99_short,111,0,,4.0,2000.0,2000.0,0.99,0,0.7362529883240674,True
"natural[57,2]",0.580983,0.00118431,0.133076,0.1295,0.371995,0.576686,0.806446,12326.9,6026.71,27.0263,0.999863,H8_full_age_attempt99_short,111,0,,4.0,2000.0,2000.0,0.99,0,0.7362529883240674,True
"natural[57,3]",0.0121804,0.000161338,0.0157858,0.00748682,0.00030802,0.00614582,0.0447443,10266.9,5857.21,22.51,0.99976,H8_full_age_attempt99_short,111,0,,4.0,2000.0,2000.0,0.99,0,0.7362529883240674,True
"natural[58,1]",0.745004,0.00259124,0.192531,0.221742,0.390865,0.77975,0.987219,5159.67,5366.17,11.3124,1.00121,H8_full_age_attempt99_short,111,0,,4.0,2000.0,2000.0,0.99,0,0.7362529883240674,True
"natural[58,2]",0.649901,0.00166716,0.151527,0.148501,0.420902,0.641312,0.911889,8200.1,5820.07,17.9785,1.00024,H8_full_age_attempt99_short,111,0,,4.0,2000.0,2000.0,0.99,0,0.7362529883240674,True
"natural[58,3]",0.0115424,0.00015004,0.0141463,0.00762264,0.000246403,0.0061894,0.0410309,8361.9,5219.42,18.3332,1.00021,H8_full_age_attempt99_short,111,0,,4.0,2000.0,2000.0,0.99,0,0.7362529883240674,True
"natural[59,1]",0.251182,0.00376874,0.21338,0.140751,0.0346806,0.183575,0.748418,3857.57,3963.49,8.45762,1.00122,H8_full_age_attempt99_short,111,0,,4.0,2000.0,2000.0,0.99,0,0.7362529883240674,True
"natural[59,2]",0.277866,0.00274319,0.192081,0.15946,0.060982,0.22973,0.655113,3770.59,4803.36,8.26691,1.0004,H8_full_age_attempt99_short,111,0,,4.0,2000.0,2000.0,0.99,0,0.7362529883240674,True
"natural[59,3]",0.12228,0.00256931,0.154469,0.0748295,0.00546337,0.0748108,0.432265,4668.29,3660.81,10.2351,1.00068,H8_full_age_attempt99_short,111,0,,4.0,2000.0,2000.0,0.99,0,0.7362529883240674,True
"natural[60,1]",0.356025,0.00515405,0.313114,0.321495,0.00835088,0.257172,0.935708,3570.52,6082.18,7.82826,1.00221,H8_full_age_attempt99_short,111,0,,4.0,2000.0,2000.0,0.99,0,0.7362529883240674,True
"natural[60,2]",0.177479,0.00120334,0.101628,0.0932971,0.0483194,0.159904,0.372225,6375.54,5137.82,13.9782,1.00056,H8_full_age_attempt99_short,111,0,,4.0,2000.0,2000.0,0.99,0,0.7362529883240674,True
"natural[60,3]",0.146855,0.00287769,0.207998,0.0790047,0.00225486,0.0619382,0.648593,6395.08,5211.11,14.021,1.00003,H8_full_age_attempt99_short,111,0,,4.0,2000.0,2000.0,0.99,0,0.7362529883240674,True
"natural[61,1]",0.768639,0.0021498,0.181188,0.19816,0.426897,0.807047,0.987521,6363.62,5353.79,13.9521,1.00039,H8_full_age_attempt99_short,111,0,,4.0,2000.0,2000.0,0.99,0,0.7362529883240674,True
"natural[61,2]",0.531754,0.00116916,0.130621,0.12926,0.329209,0.525055,0.756319,12217.4,5623.66,26.7862,1.00046,H8_full_age_attempt99_short,111,0,,4.0,2000.0,2000.0,0.99,0,0.7362529883240674,True
"natural[61,3]",0.0121768,0.000159418,0.0155218,0.00753169,0.000305726,0.00618274,0.0449013,9338.94,5715.43,20.4754,1.00076,H8_full_age_attempt99_short,111,0,,4.0,2000.0,2000.0,0.99,0,0.7362529883240674,True
"natural[62,1]",0.215591,0.0039749,0.206987,0.146554,0.0101202,0.150271,0.683524,2870.93,3744.87,6.29444,1.00229,H8_full_age_attempt99_short,111,0,,4.0,2000.0,2000.0,0.99,0,0.7362529883240674,True
"natural[62,2]",0.271088,0.00290834,0.192231,0.147921,0.0640802,0.219853,0.667529,4048.73,5797.96,8.87674,1.00085,H8_full_age_attempt99_short,111,0,,4.0,2000.0,2000.0,0.99,0,0.7362529883240674,True
"natural[62,3]",0.229003,0.00402757,0.232578,0.154873,0.00972119,0.14287,0.763707,3439.27,4734.34,7.5405,1.00088,H8_full_age_attempt99_short,111,0,,4.0,2000.0,2000.0,0.99,0,0.7362529883240674,True
"natural[63,1]",0.713055,0.00290858,0.178296,0.220184,0.425114,0.711025,0.983591,3609.83,3364.12,7.91445,1.00114,H8_full_age_attempt99_short,111,0,,4.0,2000.0,2000.0,0.99,0,0.7362529883240674,True
"natural[63,2]",1.09893,0.00248618,0.241211,0.235904,0.742594,1.07845,1.51907,9315.67,6258.39,20.4243,1.00015,H8_full_age_attempt99_short,111,0,,4.0,2000.0,2000.0,0.99,0,0.7362529883240674,True
"natural[63,3]",0.00533195,7.56788e-05,0.00720213,0.00324558,0.000150837,0.0027172,0.0200676,8378.7,5507.37,18.3701,1.0003,H8_full_age_attempt99_short,111,0,,4.0,2000.0,2000.0,0.99,0,0.7362529883240674,True
"natural[64,1]",0.0979575,0.000998026,0.0798739,0.0818794,0.00499566,0.0818161,0.248046,5275.37,4628.83,11.5661,1.00022,H8_full_age_attempt99_short,111,0,,4.0,2000.0,2000.0,0.99,0,0.7362529883240674,True
"natural[64,2]",0.416719,0.00224549,0.184761,0.148471,0.199516,0.374091,0.775746,7555.52,6249.32,16.5653,1.00036,H8_full_age_attempt99_short,111,0,,4.0,2000.0,2000.0,0.99,0,0.7362529883240674,True
"natural[64,3]",0.383325,0.00245015,0.210634,0.204149,0.107093,0.341883,0.800243,8088.49,5757.69,17.7338,1.00085,H8_full_age_attempt99_short,111,0,,4.0,2000.0,2000.0,0.99,0,0.7362529883240674,True
"natural[65,1]",0.88357,0.00120127,0.112839,0.0904158,0.653784,0.918947,0.99536,6792.01,5448.46,14.8913,1.0003,H8_full_age_attempt99_short,111,0,,4.0,2000.0,2000.0,0.99,0,0.7362529883240674,True
"natural[65,2]",0.838448,0.00159339,0.169477,0.166696,0.57946,0.826234,1.13262,11343.1,6685.94,24.8693,1.00007,H8_full_age_attempt99_short,111,0,,4.0,2000.0,2000.0,0.99,0,0.7362529883240674,True
"natural[65,3]",0.0084429,0.000163611,0.0133556,0.00394652,0.000104808,0.0030205,0.0373141,8686.0,6860.32,19.0438,1.00034,H8_full_age_attempt99_short,111,0,,4.0,2000.0,2000.0,0.99,0,0.7362529883240674,True
"natural[66,1]",0.638849,0.00285826,0.224013,0.268586,0.264235,0.648922,0.972978,5962.42,4619.62,13.0724,1.00078,H8_full_age_attempt99_short,111,0,,4.0,2000.0,2000.0,0.99,0,0.7362529883240674,True
"natural[66,2]",0.305797,0.00177416,0.137083,0.115614,0.125931,0.285749,0.557375,5940.57,5847.98,13.0245,1.00033,H8_full_age_attempt99_short,111,0,,4.0,2000.0,2000.0,0.99,0,0.7362529883240674,True
"natural[66,3]",0.0417789,0.000504337,0.0440675,0.0343157,0.000906749,0.0274599,0.122337,6517.17,5697.96,14.2887,1.00035,H8_full_age_attempt99_short,111,0,,4.0,2000.0,2000.0,0.99,0,0.7362529883240674,True
"natural[67,1]",0.452227,0.00541553,0.288898,0.359424,0.0561415,0.408823,0.943228,2938.1,4223.45,6.4417,1.00283,H8_full_age_attempt99_short,111,0,,4.0,2000.0,2000.0,0.99,0,0.7362529883240674,True
"natural[67,2]",0.199108,0.00145926,0.111072,0.0996436,0.0597732,0.180103,0.406452,5026.68,4154.38,11.0208,1.00034,H8_full_age_attempt99_short,111,0,,4.0,2000.0,2000.0,0.99,0,0.7362529883240674,True
"natural[67,3]",0.116938,0.00286856,0.168487,0.0648451,0.00225709,0.0525656,0.480547,4365.31,4324.14,9.57083,1.00125,H8_full_age_attempt99_short,111,0,,4.0,2000.0,2000.0,0.99,0,0.7362529883240674,True
"natural[68,1]",0.23691,0.00451086,0.246619,0.168474,0.00587148,0.14525,0.804481,3269.63,4274.54,7.16857,1.00256,H8_full_age_attempt99_short,111,0,,4.0,2000.0,2000.0,0.99,0,0.7362529883240674,True
"natural[68,2]",0.154447,0.00150805,0.104338,0.0822824,0.039075,0.128439,0.357249,4469.53,5341.4,9.79932,1.00051,H8_full_age_attempt99_short,111,0,,4.0,2000.0,2000.0,0.99,0,0.7362529883240674,True
"natural[68,3]",0.192877,0.00442624,0.260098,0.0894775,0.00311342,0.068842,0.838387,3645.78,5211.94,7.99328,1.00116,H8_full_age_attempt99_short,111,0,,4.0,2000.0,2000.0,0.99,0,0.7362529883240674,True
"natural[69,1]",0.558224,0.00347712,0.241619,0.292217,0.199583,0.534353,0.96293,4977.09,4047.96,10.9121,0.999756,H8_full_age_attempt99_short,111,0,,4.0,2000.0,2000.0,0.99,0,0.7362529883240674,True
"natural[69,2]",0.302856,0.00141215,0.118295,0.107077,0.134563,0.289941,0.519825,6749.65,4820.68,14.7984,0.999978,H8_full_age_attempt99_short,111,0,,4.0,2000.0,2000.0,0.99,0,0.7362529883240674,True
"natural[69,3]",0.0203099,0.000263249,0.0239139,0.0145829,0.000638159,0.0125025,0.0642268,8543.77,5876.99,18.732,1.00071,H8_full_age_attempt99_short,111,0,,4.0,2000.0,2000.0,0.99,0,0.7362529883240674,True
